BB +1.2V Vtt     | 1.197      | Volts      | ok    | na        | 1.096     | 1.134     | 1.285     | 1.323     | na        
FP Interrupt     | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
Event Log Disabl | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
Session Audit    | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
System Event     | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
BB Vbat          | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
Fan 1 Present    | 0x0        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
Fan 2 Present    | 0x0        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
Fan 3 Present    | 0x0        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
Fan 4 Present    | 0x0        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
Fan 5 Present    | 0x0        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
Fan 6 Present    | 0x0        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
Fan Redundancy   | 0x0        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
PS1 Status       | 0x0        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
PS2 Status       | 0x0        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
ACPI State       | 0x0        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
Button           | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
SMI Timeout      | 0x0        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
NMI State        | 0x0        | discrete   | 0x0100| na        | na        | na        | na        | na        | na        
SMI State        | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
Processor 1 Stat | 0x0        | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
Processor 2 Stat | 0x0        | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
PCIe Link0       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link1       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link2       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link3       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link4       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link5       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link6       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link7       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link8       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link9       | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link10      | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link11      | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link12      | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
PCIe Link13      | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU1 VRD Temp    | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU2 VRD Temp    | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU1 Vcc OOR     | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU2 Vcc OOR     | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
CPU Popul Error  | 0x0        | discrete   | 0x0000| na        | na        | na        | na        | na        | na        
DIMM 1A          | 0x0        | discrete   | 0x0400| na        | na        | na        | na        | na        | na        
DIMM 2A          | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM 1B          | 0x0        | discrete   | 0x0400| na        | na        | na        | na        | na        | na        
DIMM 2B          | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM 1C          | 0x0        | discrete   | 0x0400| na        | na        | na        | na        | na        | na        
DIMM 2C          | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM 1D          | 0x0        | discrete   | 0x0400| na        | na        | na        | na        | na        | na        
DIMM 2D          | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM Spar Enb1   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM Spar Redu1  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM Spar Enb2   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM Spar Redu2  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM Mirro Enbl  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
DIMM MirroRedu1  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
HSBP Temp        | 32.000     | degrees C  | ok    | -128.000  | na        | -48.000   | -128.000  | na        | na        
Drv 1 Stat       | 0x0        | discrete   | 0x008e| na        | na        | na        | na        | na        | na        
Drv 2 Stat       | 0x0        | discrete   | 0x008e| na        | na        | na        | na        | na        | na        
Drv 3 Stat       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Drv 4 Stat       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Drv 5 Stat       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Drv 6 Stat       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Drv 1 Pres       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Drv 2 Pres       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
Drv 3 Pres       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Drv 4 Pres       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Drv 5 Pres       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
Drv 6 Pres       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na    
